Company name,Inactive,Quoted,Branch,OwnData,Woco,R/O Full Postcode,Registered number,Primary UK SIC (2007) code,Latest accounts date,Company status,Credit score,Credit score date,Credit score indicator,"Likelihood of failure (%)
%","Credit limit (GBP)
GBP",Previous credit score,Previous credit score date,Previous credit score indicator,Ultimate owner,"Total Assets
m EUR",Return on Shareholders Funds (%),"Operating revenue (Turnover)
m EUR",Return on Capital Employed (%),Return on Total Assets (%),Profit margin (%),Gross margin (%),Berry ratio,EBIT margin (%),EBITDA margin (%),Net Assets Turnover (x),Fixed Assets Turnover (x),Interest Cover (x),Stock Turnover (x),Debtors Turnover (x),Debtor Collection (days),Creditors Payment (days),Current ratio (x),Liquidity ratio (x),Shareholders liquidity ratio (x),Solvency ratio (Asset based) (%),Solvency ratio (Liability based) (%),Gearing (%),"Profit per employee (unit)
EUR","Shareholders Funds per employee
EUR","Cash In(Out)flow Operat. Activ.
m EUR","Cash In(Out)flow Ret. On Invest.
m EUR","Taxation
m EUR","Cash Out(In)flow Investing Activ.
m EUR","Capital Expenditure & Financ. Invest.
m EUR","Acquisition & Disposal
m EUR","Equity Dividends Paid
m EUR","Management of Liquid Resources
m EUR","Cash Out(In)flow from Financing
m EUR","Increase (Decrease) Cash & Equiv.
m EUR",Asset Cover (x),Year,D/N
THE KANTAR GROUP LIMITED,No,No,No,No,No,SE1 2QY,2887671,70100,31/12/2019,Active,77,08/11/2021,Stable,2.2,"37,729",52,31/12/2018,Normal,"BAIN CAPITAL EUROPE FUND V, SCSP",89,,30,10.35,-10.51,-31.03,,,-26.84,-22.67,,3.35,,,,,43.21,0.45,0.45,,,,,"-41,257",,,,,,,,,,,,,"2,018",N
TENEO GROUP LIMITED,No,No,No,No,No,RG7 4GB,5267654,62090,30/06/2021,Active,88,29/12/2021,Secure,0.9,"179,111",95,30/06/2020,Secure,MR PIERS MARTIN JUDE CAREY,30,72.92,63,25.56,3.51,1.66,20.17,1,1.87,2.9,15.4,13.96,8.78,370.56,5.09,71.64,64.43,0.98,0.98,0.54,4.82,5.06,303.92,"12,237","16,781",3,0,-1,,-1,,0,,0,0,173.44,"2,018",N
MCGHEE GROUP LIMITED,No,No,No,No,No,G21 1HX,SC362390,10710,31/07/2021,Active,95,31/12/2021,Secure,0.9,"611,788",92,31/07/2020,Secure,MCGHEE GROUP LIMITED,18,18.51,34,15.1,10.1,5.27,30.26,1,5.45,10.88,2.87,2.83,30.03,59.1,8.77,41.6,29.54,0.97,0.88,4.44,54.6,,33.64,"5,813","31,412",4,0,0,,-1,,0,,-1,1,14.15,"2,018",N
OPTIMISE MEDIA (UK) LIMITED,No,No,No,No,No,NR2 1DP,4455319,62090,31/08/2020,Active,73,03/06/2021,Stable,2.2,"267,929",99,31/08/2019,Secure,OPTIMISE MEDIA GROUP LIMITED,14,86.82,34,86.82,15.08,6.06,15.54,2,6.05,6.08,14.33,674.57,,,8.18,44.65,92.53,1.21,1.21,,17.37,21.02,3.66,"35,467","40,851",0,0,0,0,,,0,,,-1,,"2,018",N
HOLDSMYTH LIMITED,No,No,No,No,No,SW1X 0BP,5371149,66190,29/03/2020,Active,77,06/01/2022,Stable,2.2,"120,229",86,29/03/2019,Secure,INTERKEY HOLDING LIMITED,36,-141.03,42,-45.2,-19.22,-16.51,70.58,1,-15.57,-5.91,2.74,2.87,-16.52,3.21,70.98,5.14,49.43,1.03,0.4,0.47,13.63,15.77,445.32,"-21,630","15,337",-1,0,0,,-3,,,,4,-1,3.59,"2,018",N
COOPER PARRY LLP,No,No,No,No,No,DE74 2SA,OC301728,69201,30/04/2021,Active,89,05/01/2022,Secure,0.9,"673,450",89,30/04/2020,Secure,COOPER PARRY LLP,18,,39,13.29,5.24,2.39,,,25.05,27.76,5.56,6.33,5.29,,4.02,90.79,14.76,1.08,1.08,,,,,"2,500",,10,0,-1,,-2,,,,-8,-2,2.59,"2,018",N
CORBYN HOLDINGS LIMITED,No,No,No,No,No,E16 2QS,8705852,64203,30/06/2020,Active,89,06/04/2021,Secure,0.9,"455,255",92,30/06/2019,Secure,CORBYN HOLDINGS LIMITED,25,17.36,68,14.13,7.82,2.91,5.46,3,3.32,6.77,4.86,5.1,8.16,,6.44,56.63,33.54,1.06,1.06,4.38,45.07,82.06,45.31,"141,891",,6,0,-1,,-1,,,,-4,0,9.72,"2,018",N
WATTS OF LYDNEY GROUP LIMITED,No,No,No,No,No,GL15 5DD,172209,22190,31/12/2020,Active,95,17/06/2021,Secure,0.9,"853,360",95,31/12/2019,Secure,WATTS OF LYDNEY GROUP LIMITED,33,4.75,45,4.51,2.96,2.2,15.54,1,2.24,4.58,2.05,2.18,64.21,7.53,12.26,29.77,50.44,1.12,0.6,19.4,62.37,,19.77,"5,032","105,999",2,0,0,,-4,,0,,1,-1,31.1,"2,018",N
INSTA (INTERNATIONAL) LIMITED,No,No,No,No,No,RG40 4PZ,8945886,70100,30/06/2021,Active,95,14/02/2022,Secure,0.9,"274,394",85,30/06/2020,Secure,INSTA (INTERNATIONAL) LIMITED,18,52.25,33,4.77,2.06,1.11,20.84,1,0.32,1.31,4.31,12.05,3.14,30.1,2.76,132.43,50.5,1.49,1.38,0.1,3.95,4.11,,"4,022","7,698",1,0,,,0,,,,0,1,2.52,"2,018",N
BROWN BROTHERS HARRIMAN INVESTOR SERVICES LTD.,No,No,No,No,No,EC2M 7EB,3720188,66110,31/12/2020,Active,97,17/06/2021,Secure,0.9,"2,362,000",97,31/12/2019,Secure,BROWN BROTHERS HARRIMAN & CO,19,142.95,38,142.95,77.3,38.41,,,38.41,39.1,3.72,25.15,,,40.48,9.02,0.02,2,2,,54.07,,,"155,622","108,863",14,,-2,,0,,-11,,,1,,"2,018",N
GRI LIBRA LIMITED,No,No,No,No,No,S8 0TB,9591459,70100,31/12/2020,Active,95,23/09/2021,Secure,0.9,"1,280,000",92,31/12/2019,Secure,MR GRAHAM ROYLE,19,20.56,30,15.96,9.86,6.32,22.29,1,7.05,8.97,2.53,2.64,9.04,10.55,8.4,43.44,39.29,1.07,0.68,3.47,47.94,92.08,29.94,"32,186","156,561",2,0,0,,-2,,0,,0,-1,8.54,"2,018",N
I M KELLY HOLDINGS LIMITED,No,No,No,No,No,NN14 1UD,9131991,70100,31/01/2021,Active,97,04/11/2021,Secure,0.9,"1,354,000",97,31/01/2020,Secure,ECA,36,9.85,43,8.79,6.96,5.72,14.78,2,5.82,7.06,1.54,2.74,53.3,9.62,6.02,60.62,37.51,2.67,2.07,8.26,70.63,,14.74,"6,907","70,128",2,0,-1,,-6,,,,5,1,12.5,"2,018",N
CAPEVIEW CAPITAL LLP,No,No,No,No,No,SE1 9RA,OC364354,66190,31/12/2020,Active,86,19/07/2021,Secure,0.9,"3,141,000",89,31/12/2019,Secure,HSBC HOLDINGS PLC,10,61.98,20,41.81,21.95,10.37,,,63.04,63.29,4.03,116.93,,,,,3.08,2.07,2.07,2.07,35.41,54.82,48.24,"132,751","214,177",18,,,,0,,,,-17,1,5.85,"2,018",N
MERKLE UK THREE LIMITED,No,No,No,No,No,NW1 3BF,5134352,73110,31/12/2020,Active,92,09/09/2021,Secure,0.9,"1,002,000",89,31/12/2019,Secure,DENTSU GROUP INC.,40,29.79,30,29.09,10.16,13.64,,,13.39,15.42,2.13,9.94,,,1.33,273.98,124.54,1.42,1.42,41.48,34.11,51.76,42.42,"10,879","36,515",,,,,,,,,,,,"2,018",N
MURLEY LIMITED,No,No,No,No,No,CV34 5JB,2080929,46610,31/12/2020,Active,31,14/10/2021,Caution,11.2,"73,797",31,31/12/2019,Caution,MURLEY LIMITED,14,4.57,46,4.27,1.2,0.38,12.59,1,0.77,1.1,11.23,14.85,,5.16,36.23,10.07,8.64,1.1,0.24,14.17,26.38,35.84,226.41,"1,747","38,258",1,0,0,,0,,0,,0,0,647.4,"2,018",N
SAFEGUARD WORLD INTERNATIONAL LIMITED,No,No,No,No,No,CW11 3AE,6439329,64999,31/12/2019,Active,29,18/01/2021,Caution,11.2,500,83,31/12/2018,Secure,SAFEGUARD WORLD INTERNATIONAL HOLDINGS LIMITED,26,,20,-47.02,-11.52,-15.19,23.55,1,-2.71,3.28,3.09,20.51,-0.22,,4.82,75.71,54.01,1.28,1.28,-0.71,-61.22,,,"-23,113",,,,,,,,,,,,1.22,"2,018",N
4TH DIMENSION INNOVATION LIMITED,No,No,No,No,No,TW20 8RZ,4673404,66290,31/03/2020,Active,90,17/05/2021,Secure,0.9,"420,117",95,31/03/2019,Secure,MR NEIL COLIN FOSTER,16,6.79,24,4.8,2.65,1.77,29.38,1,2.52,4.22,2.71,2.87,3.35,4.17,25.7,14.2,39.2,1.07,0.27,2.41,39.09,64.18,93.25,"2,103","30,964",1,0,0,,-1,,,,0,0,8.41,"2,018",N
THE LINK GROUP OF COMPANIES LIMITED,No,No,No,No,No,CO4 9YQ,9668677,70100,30/09/2020,Active,92,28/06/2021,Secure,0.9,"557,910",92,30/09/2019,Secure,THE LINK GROUP OF COMPANIES LIMITED,3,135.02,,135.02,39.67,,,,,,,,,,,,,0.86,0.86,,29.38,41.6,153.91,"570,161",,,,,,,,,,,,,"2,018",N
LITTLE GREENE (HOLDINGS) LIMITED,No,No,No,No,No,M11 2DT,9950383,64209,31/10/2020,Active,99,30/07/2021,Secure,0.9,"1,602,000",92,31/10/2019,Secure,LITTLE GREENE (HOLDINGS) LIMITED,34,18.71,27,8.33,6.28,7.96,33.96,1,9.5,21.54,1.05,1.13,16.33,11.18,7.69,47.46,38.64,1.23,0.94,0.8,33.58,50.56,159.14,"19,324","103,290",6,0,-1,,-1,,,,-3,2,2.4,"2,018",N
VENNER SHIPLEY LLP,No,No,No,No,No,EC1A 4HD,OC308202,69102,30/06/2020,Active,99,18/03/2022,Secure,0.9,"1,139,000",92,30/06/2019,Secure,VENNER SHIPLEY LLP,11,,33,,,,59.38,1,18.83,20.21,5.02,17.99,1,,4.43,82.33,24.54,2.12,2.12,,,,,,,7,0,,,0,,,,-5,1,1.81,"2,018",N
STONEHAGE FLEMING SERVICES LIMITED,No,No,No,No,No,SW1Y 4HG,1234340,70100,31/03/2021,Active,97,13/12/2021,Secure,0.9,"394,517",97,31/03/2020,Secure,SPES BONA LTD.,12,5.09,34,4.17,0.9,0.32,,,0.56,1.78,13.18,16.43,,,251.54,1.45,,1.05,1.05,4.51,17.63,21.4,117.77,627,"12,313",0,0,0,0,,,,,,0,,"2,018",N
GOLDENFRY LIMITED,No,No,No,No,No,LS22 7DW,2404748,77390,31/12/2020,Active,99,31/12/2021,Secure,0.9,"820,918",99,31/12/2019,Secure,MR PAUL ANTHONY HERRIDGE,22,16.7,31,15.36,10.55,7.37,17.9,2,7.36,9.31,2.09,3.19,,10.57,9.72,37.57,52.54,1.76,1.33,11.47,63.16,,9.06,"23,880","142,953",2,0,,,-2,,,,-4,-4,115.5,"2,018",N
HENRY BELL HOLDINGS LIMITED,No,No,No,No,No,NG31 7DB,7357045,68209,30/06/2021,Active,95,09/03/2022,Secure,0.9,"242,707",95,30/06/2020,Secure,MR THOMAS LEE,13,20.75,30,20.66,13.08,5.54,,,5.52,6.35,3.73,6.26,,23.04,6.51,56.07,25.66,1.7,1.42,228.11,63.03,,0.44,"31,117","149,962",1,0,0,,0,,,,,1,,"2,018",N
MUNICH RE SYNDICATE LIMITED,No,No,No,No,No,EC3A 8EE,1328742,65120,31/12/2020,Active,73,13/09/2021,Stable,2.2,"68,977",73,31/12/2019,Stable,MÜNCHENER RÜCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MÜNCHEN,42,18.77,40,4.74,0.89,0.92,,,0.92,2.22,5.15,23.98,,,,,,1.18,1.18,0.34,4.75,4.99,,"2,141","11,407",,,,,,,,,,,93.69,"2,018",N
MODA LIVING (PRINCES DOCK) LIMITED,No,No,No,No,No,LS22 6LH,9718334,68320,31/08/2020,Active,85,21/06/2021,Secure,0.9,"345,486",86,31/08/2019,Secure,CADDICK GROUP LIMITED,4,,4,-15.76,0.8,0.94,2.59,3,1.69,,,,1.26,,5.1,71.55,67.08,0.95,0.95,,-5.06,,,"3,719",,,,,,,,,,,,,"2,018",N
ROAD MAINTENANCE SERVICES (HOLDINGS) LIMITED,No,No,No,No,No,WA16 6PB,437756,64203,31/12/2020,Active,99,20/09/2021,Secure,0.9,"983,662",99,31/12/2019,Secure,ROAD MAINTENANCE SERVICES (HOLDINGS) LIMITED,28,24.71,38,22.76,15.27,11.34,23.5,2,11.3,13.85,2.01,3.9,145.72,35.08,34.83,10.48,14.94,1.99,1.87,11.71,61.8,,10.29,"27,340","110,652",5,,,,-2,,-1,,0,2,45.05,"2,018",N
EQT PARTNERS LIMITED,No,No,No,No,No,W1F 8JB,6590781,64205,31/12/2020,Active,89,01/06/2021,Secure,0.9,"1,152,000",77,31/12/2019,Stable,EQT AB,11,63.64,7,63.64,60.12,99.61,100,253,99.61,,0.64,1.54,,,,,,10.98,10.98,,94.47,,2.55,,,,,,,,,,,,,,"2,018",N
HAMSARD 3145 LIMITED,No,No,No,No,No,OX29 7DX,6753143,64209,26/12/2020,Active,30,10/01/2022,Caution,11.2,500,37,26/12/2019,Caution,ESO INVESTMENTS 1. LIMITED,15,,42,-3.14,2.16,0.76,61.39,1,1.03,3.71,,14.05,1.95,11.93,25.25,14.45,66.48,0.47,0.33,,-68.81,,,703,,2,0,,,-2,,,,0,0,960,"2,018",N
MCBRAIDA HOLDINGS LIMITED,No,No,No,No,No,BS30 5JW,7571422,64202,30/06/2020,Active,95,14/07/2021,Secure,0.9,"2,001,000",95,30/06/2019,Secure,MR MICHAEL PETER MCBRAIDA,43,16.47,34,15.74,12.46,15.9,24.87,3,15.55,18.85,0.99,1.75,,7.45,3.55,102.7,24.97,2.64,2.14,21.68,75.64,,4.61,"22,565","137,028",5,0,-2,,-3,,0,,,0,44.97,"2,018",N
MARKS & CLERK (ASIA) LLP,No,No,No,No,No,EC4A 1BW,OC302518,69102,31/07/2020,Active,99,26/04/2021,Secure,0.9,"459,127",39,31/07/2019,Caution,,15,,38,0.68,0.21,0.09,,,9.7,10.19,7.92,164.22,30,,4.08,89.4,29.98,1.44,1.44,,,,,243,,3,0,0,,0,,,,-3,-1,3.22,"2,018",N
SMH FLEET SOLUTIONS LIMITED,No,No,No,No,No,NW1 1JD,4526612,77110,31/12/2020,Active,89,27/09/2021,Secure,0.9,"583,725",89,31/12/2019,Secure,CAZOO GROUP LTD,21,29.79,43,26.9,15.64,7.48,27.68,1,7.55,9.64,3.59,11.82,111.12,58.44,5.07,71.97,33.31,1.97,1.88,9.31,52.5,,43.67,"8,844","29,689",,,,,,,,,,,38.54,"2,018",N
MCCORMICK KUTAS FOOD SERVICE LIMITED,No,No,No,No,No,HP17 8LB,3144568,64209,30/11/2020,Active,42,17/12/2021,Normal,4.2,"900,554",36,30/11/2019,Caution,MCCORMICK KUTAS FOOD SERVICE LIMITED,35,34.02,34,21.78,18.58,19.1,24.73,3,20.45,27.09,1.14,1.9,14.34,4.31,6.07,60.16,24.91,3.33,1.79,1.78,54.62,,64.76,"37,315","109,687",2,0,,,-2,,,,-4,-3,3.36,"2,018",N
H.K. WENTWORTH LIMITED,No,No,No,No,No,GU21 5RW,368850,20590,31/12/2020,Active,95,18/05/2021,Secure,0.9,"614,820",92,31/12/2019,Secure,ELEMENT SOLUTIONS INC.,23,29.13,33,25.51,14.65,9.95,40.11,1,10.35,11.95,2.56,7.36,25.96,5.18,4.03,90.53,43.01,1.88,1.21,7.03,50.27,,45.72,"14,061","48,266",1,0,,,-1,,-1,,0,-1,14.69,"2,018",N
ENZEN LIMITED,No,No,No,No,No,B90 8AJ,9676487,70229,31/03/2020,Active,77,01/04/2021,Stable,2.2,"6,303,000",85,31/03/2019,Secure,ENZEN GLOBAL SOLUTIONS PRIVATE LIMITED,54,51.17,25,49.71,37.68,81.75,90.22,10,81.75,88.7,0.61,0.8,,,552.78,0.66,3.9,1.77,1.77,34.01,73.63,,28.66,,,,,,,,,,,,,,"2,018",N
YARLINGTON HOMES LIMITED,No,No,No,No,No,SO50 6AD,4916897,41202,31/03/2021,Active,89,16/09/2021,Secure,0.9,"323,337",68,31/03/2020,Stable,YARLINGTON HOUSING GROUP,9,-0.86,6,-0.86,-0.64,-0.98,0.94,1,0.17,,0.88,,0.15,0.75,,,1.37,3.87,0.49,,74.15,,9.11,,,,,,,,,,,,,,"2,018",N
TOWER HAMLETS HOMES LIMITED,No,No,No,No,No,E14 9NN,6249790,68320,31/03/2020,Active,68,06/01/2022,Stable,2.2,"722,952",89,31/03/2019,Secure,,11,-52.66,37,-45.37,-30.46,-8.93,-8.91,,-8.91,-8.79,5.08,13.67,-61.26,,,,,2.28,2.28,6.23,57.85,,71.1,"-7,121","13,524",-2,0,,,0,,,,,-2,,"2,018",N
CO-OPERATIVE LEGAL SERVICES LIMITED,No,No,No,No,No,M60 0AG,5671209,69102,02/01/2021,Active,93,20/12/2021,Secure,0.9,"1,250,000",37,02/12/2019,Caution,CO-OPERATIVE LEGAL SERVICES LIMITED,30,19.91,25,19.91,4.97,5.91,91.23,1,5.95,6.85,3.37,2.81,145.78,,2.12,172.44,3.56,0.93,0.93,,24.97,33.28,210.38,"4,573","22,968",,,,,,,,,,,,"2,018",N
PIONEERING FOODS GROUP LIMITED,No,No,No,No,No,NR11 6RR,4395837,70100,31/12/2020,Active,95,13/10/2021,Secure,0.9,"122,574",92,31/12/2019,Secure,POLCAF,12,4.47,36,4.46,1.28,0.42,8.2,1,0.67,0.92,10.57,42.35,2.68,18.04,4.39,83.06,18.36,1.3,1.07,463.41,28.76,40.38,186.17,"7,680","171,974",0,0,0,,0,,,,,0,,"2,018",N
SPLAT HOLDINGS LIMITED,No,No,No,No,No,WR2 5AG,7994596,70100,31/03/2021,Active,86,10/01/2022,Secure,0.9,"391,728",89,31/03/2020,Secure,JOHN MARK JOHANSEN-BERG,5,99.38,24,82.85,22.43,4.83,36.69,1,4.27,4.58,17.16,211.15,224.54,6.28,,0.25,46.65,1.34,0.33,5.01,22.57,29.16,33.77,"11,195","11,265",0,0,0,,0,,-1,,0,0,,"2,018",N
WILLIAMSBUILD MANAGEMENT LIMITED,No,No,No,No,No,PL7 5HZ,7248789,70229,31/07/2020,Active,97,07/05/2021,Secure,0.9,"306,636",97,31/07/2019,Secure,WILLIAMSBUILD MANAGEMENT LIMITED,16,21.93,45,21.7,8.89,3.2,16.46,1,3.26,4.11,6.79,15.92,39.07,171.32,5.55,65.74,24.43,1.4,1.37,96.51,40.53,68.16,1.04,"11,214","51,143",1,0,,,-1,,-1,,,0,,"2,018",N
TOM DIXON HOLDING LIMITED,No,No,No,No,No,N1C 4PQ,9593554,70100,31/03/2019,Active,,,,,,,,,NEO CAPITAL PRIVATE EQUITY FUND II LP,31,4.71,34,4.25,3.45,3.24,65.58,1,3.26,9.41,1.31,2.2,125.09,4.09,6.98,52.29,36.26,2.76,1.36,9.3,73.42,,10.76,"9,618","204,405",2,0,0,,-3,,,,,-1,13,"2,018",N
ICON INFRASTRUCTURE LLP,No,No,No,No,No,W1F 9JG,OC364705,66190,31/03/2021,Active,93,07/01/2022,Secure,0.9,"1,832,000",99,31/03/2020,Secure,ICON INFRASTRUCTURE LLP,17,336.83,23,82.13,61.6,44.68,,,54.07,54.59,1.84,45.12,,,369.04,0.99,14.57,3.88,3.88,0.32,18.29,22.38,315.47,"312,558","92,794",9,0,,,0,,,,-10,0,1.76,"2,018",N
JUSTRITE HOLDINGS LTD,No,No,No,No,No,SK6 2SS,10118933,64209,31/12/2019,"Active, in default",88,28/06/2021,Secure,0.9,"906,302",97,31/12/2018,Secure,JMC ACQUISITION CORP,43,6.52,36,4.08,3.19,3.81,33.98,1,5.31,12.81,1.07,1.91,3.49,10.85,3.48,104.97,52.5,2.56,2.21,1.67,48.86,95.54,59.91,"6,809","104,456",6,-1,-1,,-1,,,,0,3,3.96,"2,018",N
LEEDS GROUP PLC,No,No,No,No,No,LS22 6SL,67863,64209,31/05/2021,Active,92,07/03/2022,Secure,0.9,"607,525",89,31/05/2020,Secure,LEEDS GROUP PLC,31,4.66,47,3.85,3.28,2.13,21.7,1,2.77,4.2,1.81,4.11,6.53,4.32,8.12,44.96,13.41,4.24,1.82,4.76,70.48,,28.09,"5,334","114,438",2,,0,0,,,,,-2,-1,7.27,"2,018",N
HEALTH AND PROTECTION SOLUTIONS LIMITED,No,No,No,No,No,SO15 2BB,4907859,66220,31/12/2020,Active,95,09/08/2021,Secure,0.9,"1,307,000",73,31/12/2019,Stable,MADISON DEARBORN PARTNERS LLC,8,,17,60.24,49.32,22.57,59.44,1,4.68,6.55,2.67,16.61,,,14.49,25.19,9.66,4.79,4.79,-0.62,,,,"37,096",,,,,,,,,,,,,"2,018",N
HARTING UK LIMITED,No,No,No,No,No,NN3 6WL,1491158,70100,30/09/2021,Active,99,10/02/2022,Secure,0.9,"1,114,000",99,30/09/2020,Secure,HARTING STIFTUNG & CO. KG,15,61.39,35,61.17,35.05,15.03,31.1,2,15.03,15.15,4.07,30.73,,14.01,4.44,82.28,11.25,2.16,1.77,268.93,57.09,,19.47,"49,133","80,028",5,,-1,,0,,-2,,,2,,"2,018",N
FOUR MSA LIMITED,No,No,No,No,No,E1 1FX,5990438,73110,31/12/2020,Active,89,08/11/2021,Secure,0.9,"216,082",86,31/12/2019,Secure,FOUR COMMUNICATIONS GROUP LIMITED,22,11.42,20,11.42,3.67,4.03,17.01,1,4.03,,2.83,,,81.3,4.01,90.94,125.36,1.47,1.46,,32.18,47.44,99.76,"44,080",,,,,,,,,,,,,"2,018",N
SCOBIE AND JUNOR (HOLDINGS) LIMITED,No,No,No,No,No,G2 1AL,SC047779,46900,30/06/2021,Active,92,26/01/2022,Secure,0.9,"173,804",99,30/06/2020,Secure,SCOBIE AND JUNOR (HOLDINGS) LIMITED,13,20.32,33,14.93,9.06,3.51,28.36,1,4.48,5.85,4.26,17.71,5.8,6.38,6.39,57.09,41.8,2.17,1.14,2.77,44.59,80.49,46.89,"8,221","40,454",2,0,0,,0,,0,,0,0,31.48,"2,018",N
NEWSHIP PRODUCTS GROUP LIMITED,No,No,No,No,No,KT13 0AH,1331386,82990,30/09/2021,Active,95,29/12/2021,Secure,0.9,"742,768",99,30/09/2020,Secure,NEWSHIP PRODUCTS GROUP LIMITED,23,13.79,24,9.8,7.12,6.72,20.08,1,6.13,7.17,1.46,2.22,19.84,4.01,9,40.54,29.89,1.91,0.94,2.46,51.59,,45.01,"8,132","58,968",1,0,0,,0,,-1,,0,0,5.09,"2,018",N
BURDEN BROS HOLDINGS LIMITED,No,No,No,No,No,OX16 9SA,7189106,46610,31/03/2020,Active,29,17/03/2022,Caution,11.2,"26,230",31,31/03/2019,Caution,BURDEN BROS HOLDINGS LIMITED,18,16.86,30,13.74,6.67,3.96,15.13,1,4.15,7.42,3.47,8.02,21.98,3.03,13.44,27.17,68.35,1.54,0.45,4.4,39.54,65.41,48.74,"10,761","63,824",-1,,,,1,,,,-1,-1,12.71,"2,018",N
BERNESLAI HOMES LIMITED,No,No,No,No,No,S70 2RD,4548803,68320,31/03/2021,Active,86,25/11/2021,Secure,0.9,500,89,31/03/2020,Secure,,20,,40,-7.8,-5.8,-2.86,,,-0.58,-0.19,2.73,98.11,-0.21,86.99,751.45,0.49,17.66,3.82,3.73,-0.46,-63.44,,,"-2,542",,3,0,0,,0,,,,,3,,"2,018",N
HERMES GPE LLP,No,No,No,No,No,EC2V 6ET,OC348770,66190,31/12/2021,Active,92,14/02/2022,Secure,0.9,"1,106,000",97,31/12/2020,Secure,VOTING SHARES IRREVOCABLE TRUST,21,41.35,29,35.41,15.97,11.46,,,10.9,,3.09,24.39,,,25.63,14.24,,1.72,1.72,5.97,38.63,62.94,16.76,"59,692","144,363",5,0,0,,-1,,,,-5,0,,"2,018",N
BRAIME GROUP PLC,No,No,No,No,No,LS10 1JZ,488001,25500,31/12/2020,Active,99,11/06/2021,Secure,0.9,"576,203",95,31/12/2019,Secure,BRAIME GROUP PLC,26,22.1,40,20.31,12.95,8.45,,,9.08,11.28,2.4,5.68,14.29,4.54,6.28,58.17,35.01,2.01,1.08,11.36,58.6,,19.46,"19,225","86,994",3,,0,-2,,,0,,0,1,19.84,"2,018",N
PHCO154 LIMITED,No,No,No,No,No,TN4 8TW,5953566,70229,31/12/2020,Active,92,04/10/2021,Secure,0.9,"385,804",89,31/12/2019,Secure,MR PATRICK HANSEN,12,23.61,13,23.06,11.39,5,10.13,2,4.69,5.81,4.62,7.32,,,7.25,50.34,54.51,1.36,1.36,41.98,48.26,93.28,5.05,"31,701","134,264",1,0,0,0,,,,,0,1,103.2,"2,018",N
MOORHOUSE CONSULTING LIMITED,No,No,No,No,No,EC4A 3AG,5053551,70229,31/03/2021,Active,95,10/09/2021,Secure,0.9,"827,821",92,31/03/2020,Secure,ARDIAN LBO FUND VI B S L P,15,22.4,25,21.82,14.71,8.98,28.54,1,8.96,9.73,2.43,36.52,,,4.37,83.51,7.32,2.93,2.93,37.79,65.67,,2.65,"18,027","80,479",,,,,,,,,,,,"2,018",N
"H.I.G. EUROPE, LTD",No,No,No,No,No,W1K 4QB,5980422,64205,31/12/2020,Active,95,07/07/2021,Secure,0.9,"863,777",99,31/12/2019,Secure,"HIG CAPITAL PARTNERS, LP",22,22.57,33,21.64,13.61,8.96,,,8.97,11.35,2.42,8.82,583.26,,389.09,0.94,9.21,2.23,2.23,23.37,60.32,,11.47,"38,283","169,655",4,0,-1,,0,,,,-2,1,506.63,"2,018",N
TELLAR HOLDINGS LIMITED,No,No,No,No,No,M3 7BG,1740554,46900,31/12/2020,Active,99,04/10/2021,Secure,0.9,"753,571",95,31/12/2019,Secure,TELLAR HOLDINGS EOT TRUSTEES LIMITED,17,8.53,28,8.49,6.2,3.69,19.85,1,5.52,6.18,2.3,49.89,12.45,3.2,21.25,17.17,29.64,3.59,1.64,194.89,72.72,,0.51,"13,558","158,915",3,0,0,,0,,,,,2,,"2,018",N
VERMONT PROPERTY GROUP LIMITED,No,No,No,No,No,L8 5TH,4848702,41100,31/03/2021,Active,92,24/01/2022,Secure,0.9,"289,225",99,31/03/2020,Secure,VERMONT PROPERTY GROUP (EOT) LIMITED,11,56.55,39,55.06,17.54,4.95,7.78,3,4.84,5.03,11.12,110.92,,57.25,23.4,15.6,61.16,1.42,1.33,36.91,31.01,44.95,2.71,"35,660","63,063",2,0,0,,0,,0,,,1,,"2,018",N
TRIGON GROUP LIMITED,No,No,No,No,No,DE24 8HG,6673195,45320,30/06/2020,Active,99,18/03/2022,Secure,0.9,"691,146",97,30/06/2019,Secure,TRIGON GROUP LIMITED,16,31.62,36,29.53,14.48,6.41,17.63,2,6.64,7.86,4.6,6.85,27.97,11.21,10.55,34.58,66.09,1.32,0.92,14.16,45.78,84.43,12.28,"13,107","41,451",3,0,0,,0,,-1,,0,1,10.18,"2,018",N
KARBON DEVELOPMENTS LIMITED,No,No,No,No,No,NE12 8EG,4895180,68100,31/03/2021,Active,77,29/12/2021,Stable,2.2,"43,922",55,31/03/2020,Normal,KARBON HOMES LIMITED,4,23.96,26,23.96,2.6,0.43,0.59,4,0.43,,56.04,,,,42.43,8.6,10.06,1.12,1.12,,10.86,12.18,49.48,,,,,,,,,,,,,,"2,018",N
OPUS 2 MAGNUM HOLDINGS LIMITED,No,No,No,No,No,EC4A 3BF,7874822,62020,31/03/2021,Active,93,22/10/2021,Secure,0.9,"1,999,000",97,31/03/2020,Secure,MIDCAP INVEST 1. TF SARL,15,3.8,19,3.76,1.86,1.4,62.94,1,1.33,3.07,2.69,11.14,,,3.14,116.07,25.93,1.74,1.74,93.34,49.01,96.11,48.58,"1,874","49,321",2,,,,-1,,,,1,2,,"2,018",N
